Model,MTL,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
LSTM,PCGrad,0.6946,8.7937,
LSTM,PCGrad,0.7026,,10.2445
LSTM,DWA,0.8052,,6.5098
LSTM,Nash_MTL,,5.2008,6.7434
LSTM,CAGrad,,8.4304,10.4421
LSTM,EW,0.7936,,6.355
LSTM,RLW,,5.0639,6.2275
LSTM,GLS,,5.0606,6.4271
LSTM,DWA,,5.3651,6.7238
LSTM,UW,0.7907,5.2912,
LSTM,Nash_MTL,0.7982,,6.2703
LSTM,GradNorm,0.7603,6.3531,8.4411
LSTM,CAGrad,0.6971,,10.2655
LSTM,GLS,0.8056,5.4099,
LSTM,GradDrop,0.7971,,6.5163
LSTM,IMTL,0.7099,8.4837,10.1475
LSTM,DWA,0.8094,5.1898,6.3906
Transformer,IMTL,,7.8399,9.7373
Transformer,GradDrop,0.8104,5.9417,
Transformer,GLS,0.8134,5.2274,6.4591
Transformer,DWA,0.8062,5.7071,
Transformer,UW,0.8207,,6.6597
Transformer,GradNorm,0.7774,6.7761,7.3303
Transformer,GLS,0.8121,,6.3033
Transformer,GLS,0.8069,5.1004,
Transformer,CAGrad,,8.2621,9.4753
Transformer,EW,0.0269,,
Transformer,GradNorm,0.8072,6.6702,
Transformer,PCGrad,0.7832,,9.4486
Transformer,IMTL,0.7517,,11.3531
Transformer,IMTL,0.7756,8.2373,
Transformer,GradDrop,0.8032,5.1001,6.535
Transformer,UW,,5.6529,6.5763
Transformer,DWA,,12.0826,25.0821
Transformer,GradDrop,,6.6735,24.94
Transformer,GLS,,5.8023,24.8776
Transformer,CAGrad,0.7744,8.2443,11.6759
Transformer,PCGrad,0.787,8.4809,9.6716
Transformer,RLW,,12.2348,24.7596
Transformer,DWA,0.8041,,6.5896
Transformer,EW,0.8069,5.6729,
Transformer,EW,,5.4149,6.5276
Transformer,DWA,0.8031,5.3828,6.8357
Transformer,IMTL,0.7704,7.9914,10.6859
Transformer,CAGrad,0.7894,7.7461,
Transformer,RLW,0.806,5.9058,
Transformer,EW,,6.6683,
Transformer,CAGrad,0.7704,,9.2966
Transformer,GradDrop,0.8003,,6.2752
Transformer,Nash_MTL,0.7845,,6.6199
Transformer,GradNorm,,8.4973,12.9357
Transformer,RLW,0.806,5.3278,6.5168
Transformer,EW,0.7947,5.8005,6.4359
Transformer,Nash_MTL,0.8038,5.5146,
Transformer,EW,0.795,,6.6285
Transformer,UW,0.8052,5.1466,
Transformer,Nash_MTL,,5.3045,6.3993
Transformer,PCGrad,,7.7283,9.1797
Transformer,UW,0.8081,5.3651,6.2092
Transformer,Nash_MTL,0.798,5.3337,6.2189
Transformer,GradNorm,0.7901,,24.7483
Transformer,PCGrad,0.77,8.9336,
Transformer,RLW,0.8152,,24.7175
Transformer,EW,,,25.2146
